,location
606,"40.85760520482432,-73.9313288622179"
607,"40.85760520482432,-73.9313288622179"
608,"40.85760520482432,-73.9313288622179"
609,"40.85634436708678,-73.93814433900215"
610,"40.85634436708678,-73.93814433900215"
611,"40.85716952745695,-73.93215831769146"
612,"40.85716952745695,-73.93215831769146"
613,"40.85634072676786,-73.92899568464237"
614,"40.85634072676786,-73.92899568464237"
615,"40.85634072676786,-73.92899568464237"
616,"40.856635132489856,-73.92742732280223"
617,"40.856635132489856,-73.92742732280223"
618,"40.85732968152792,-73.93220048533202"
619,"40.85732968152792,-73.93220048533202"
620,"40.8594357749216,-73.92954166614163"
621,"40.8594357749216,-73.92954166614163"
622,"40.8594357749216,-73.92954166614163"
623,"40.8594357749216,-73.92954166614163"
624,"40.8594357749216,-73.92954166614163"
625,"40.85788149831586,-73.92889460180966"
626,"40.85788149831586,-73.92889460180966"
627,"40.857161606620615,-73.92887305343253"
628,"40.857161606620615,-73.92887305343253"
629,"40.86249857170726,-73.92918317935391"
630,"40.86249857170726,-73.92918317935391"
631,"40.86249857170726,-73.92918317935391"
632,"40.86249857170726,-73.92918317935391"
633,"40.86249857170726,-73.92918317935391"
634,"40.86249857170726,-73.92918317935391"
635,"40.76582512247988,-73.96080799875038"
636,"40.76582512247988,-73.96080799875038"
637,"40.763657164494,-73.96483896600014"
638,"40.7804176529435,-73.94851338015843"
639,"40.78565267063722,-73.94981180088675"
640,"40.7809424320573,-73.94703791452264"
641,"40.78072814575541,-73.94451650077005"
642,"40.7177252713903,-74.01388290338726"
643,"40.71655189428547,-74.01439965989601"
644,"40.71738835597813,-74.0130841508088"
645,"40.63399594496953,-74.09713106540991"
646,"40.64133297736418,-74.08322409414534"
647,"40.63554799717493,-74.09558358579325"
648,"40.63334966963118,-74.09520274226846"
649,"40.63883082424939,-74.08822096311302"
650,"40.63254980078551,-74.0971784090493"
651,"40.6372605293968,-74.08643123440183"
652,"40.63460625019096,-74.09628990923608"
653,"40.63542429728182,-74.09615170592453"
654,"40.63375290625471,-74.09729531615193"
655,"40.63839576693272,-74.09113014949351"
656,"40.639332214650175,-74.09199620813514"
657,"40.63722228448998,-74.14043333066876"
658,"40.63722228448998,-74.14043333066876"
659,"40.63878190034032,-74.13583226162388"
660,"40.62529214536961,-74.14208742242066"
661,"40.63961183319384,-74.13802645133164"
662,"40.62532528472037,-74.14310750742968"
663,"40.6400797657294,-74.13468878767654"
664,"40.63332858796237,-74.14348628749762"
665,"40.63332858796237,-74.14348628749762"
