,zipcode,size,amount_built
728,11238,large,14.0
729,11239,small,0.0
730,11239,medium,0.0
731,11239,large,1.0
732,11354,small,0.0
733,11354,medium,0.0
734,11354,large,8.0
735,11355,small,0.0
736,11355,medium,0.0
737,11355,large,10.0
738,11356,small,0.0
739,11356,medium,0.0
740,11356,large,6.0
741,11357,small,0.0
742,11357,medium,0.0
743,11357,large,7.0
744,11358,small,1.0
745,11358,medium,0.0
746,11358,large,6.0
747,11360,small,0.0
748,11360,medium,0.0
749,11360,large,3.0
750,11361,small,0.0
751,11361,medium,0.0
752,11361,large,5.0
753,11362,small,0.0
754,11362,medium,0.0
755,11362,large,2.0
756,11363,small,0.0
757,11363,medium,0.0
758,11363,large,1.0
759,11364,small,0.0
760,11364,medium,0.0
761,11364,large,6.0
762,11365,small,0.0
763,11365,medium,0.0
764,11365,large,9.0
765,11366,small,0.0
766,11366,medium,0.0
767,11366,large,3.0
768,11367,small,0.0
769,11367,medium,0.0
770,11367,large,12.0
771,11368,small,0.0
772,11368,medium,0.0
773,11368,large,24.0
774,11369,small,0.0
775,11369,medium,0.0
776,11369,large,4.0
777,11370,small,0.0
778,11370,medium,0.0
779,11370,large,4.0
780,11372,small,0.0
781,11372,medium,0.0
782,11372,large,12.0
783,11373,small,0.0
784,11373,medium,0.0
785,11373,large,17.0
786,11374,small,0.0
787,11374,medium,0.0
788,11374,large,9.0
789,11375,small,0.0
790,11375,medium,0.0
791,11375,large,14.0
792,11377,small,0.0
793,11377,medium,0.0
794,11377,large,16.0
795,11378,small,0.0
796,11378,medium,0.0
797,11378,large,8.0
798,11379,small,0.0
799,11379,medium,0.0
800,11379,large,5.0
801,11385,small,0.0
802,11385,medium,0.0
803,11385,large,18.0
804,11411,small,0.0
805,11411,medium,0.0
806,11411,large,3.0
807,11412,small,0.0
808,11412,medium,0.0
809,11412,large,6.0
810,11413,small,0.0
811,11413,medium,0.0
812,11413,large,6.0
813,11414,small,0.0
814,11414,medium,0.0
815,11414,large,7.0
816,11415,small,0.0
817,11415,medium,0.0
818,11415,large,4.0
819,11416,small,0.0
820,11416,medium,0.0
821,11416,large,6.0
822,11417,small,1.0
823,11417,medium,0.0
824,11417,large,6.0
825,11418,small,0.0
826,11418,medium,0.0
827,11418,large,7.0
828,11419,small,0.0
829,11419,medium,0.0
830,11419,large,6.0
831,11420,small,0.0
832,11420,medium,0.0
833,11420,large,7.0
834,11421,small,0.0
835,11421,medium,0.0
836,11421,large,8.0
837,11422,small,0.0
838,11422,medium,0.0
839,11422,large,4.0
840,11423,small,0.0
841,11423,medium,0.0
842,11423,large,4.0
843,11426,small,0.0
844,11426,medium,0.0
845,11426,large,4.0
846,11427,small,0.0
847,11427,medium,0.0
848,11427,large,6.0
849,11428,small,0.0
850,11428,medium,0.0
851,11428,large,3.0
852,11429,small,0.0
853,11429,medium,0.0
854,11429,large,4.0
855,11432,small,0.0
856,11432,medium,0.0
857,11432,large,13.0
858,11433,small,0.0
859,11433,medium,0.0
860,11433,large,8.0
861,11434,small,0.0
862,11434,medium,0.0
863,11434,large,12.0
864,11435,small,0.0
865,11435,medium,0.0
866,11435,large,15.0
867,11436,small,0.0
868,11436,medium,0.0
869,11436,large,3.0
870,11501,small,0.0
871,11501,medium,0.0
872,11501,large,0.0
873,11507,small,0.0
874,11507,medium,0.0
875,11507,large,1.0
876,11510,small,0.0
877,11510,medium,0.0
878,11510,large,3.0
879,11514,small,1.0
880,11514,medium,0.0
881,11514,large,0.0
882,11516,small,0.0
883,11516,medium,0.0
884,11516,large,1.0
885,11518,small,0.0
886,11518,medium,0.0
887,11518,large,0.0
888,11520,small,0.0
889,11520,medium,0.0
890,11520,large,4.0
891,11530,small,0.0
892,11530,medium,0.0
893,11530,large,3.0
894,11542,small,0.0
895,11542,medium,0.0
896,11542,large,0.0
897,11545,small,0.0
898,11545,medium,0.0
899,11545,large,0.0
900,11548,small,0.0
901,11548,medium,0.0
902,11548,large,0.0
903,11550,small,0.0
904,11550,medium,0.0
905,11550,large,10.0
906,11552,small,0.0
907,11552,medium,0.0
908,11552,large,3.0
909,11553,small,0.0
910,11553,medium,0.0
911,11553,large,6.0
912,11554,small,0.0
913,11554,medium,0.0
914,11554,large,5.0
915,11557,small,1.0
916,11557,medium,0.0
917,11557,large,0.0
918,11558,small,1.0
919,11558,medium,0.0
920,11558,large,1.0
921,11559,small,0.0
922,11559,medium,0.0
923,11559,large,0.0
924,11560,small,0.0
925,11560,medium,0.0
926,11560,large,1.0
927,11561,small,1.0
928,11561,medium,0.0
929,11561,large,3.0
930,11563,small,0.0
931,11563,medium,0.0
932,11563,large,0.0
933,11565,small,0.0
934,11565,medium,0.0
935,11565,large,1.0
936,11566,small,0.0
937,11566,medium,0.0
938,11566,large,1.0
939,11568,small,0.0
940,11568,medium,0.0
941,11568,large,0.0
942,11570,small,0.0
943,11570,medium,0.0
944,11570,large,2.0
945,11572,small,0.0
946,11572,medium,1.0
947,11572,large,0.0
948,11575,small,0.0
949,11575,medium,0.0
950,11575,large,4.0
951,11576,small,0.0
952,11576,medium,0.0
953,11576,large,0.0
954,11577,small,0.0
955,11577,medium,0.0
956,11577,large,0.0
957,11579,small,0.0
958,11579,medium,0.0
959,11579,large,1.0
960,11580,small,0.0
961,11580,medium,0.0
962,11580,large,3.0
963,11581,small,0.0
964,11581,medium,0.0
965,11581,large,3.0
966,11590,small,0.0
967,11590,medium,0.0
968,11590,large,7.0
969,11596,small,0.0
970,11596,medium,0.0
971,11596,large,1.0
972,11598,small,0.0
973,11598,medium,0.0
974,11598,large,2.0
975,11691,small,0.0
976,11691,medium,0.0
977,11691,large,19.0
978,11692,small,0.0
979,11692,medium,0.0
980,11692,large,5.0
981,11693,small,0.0
982,11693,medium,0.0
983,11693,large,2.0
984,11694,small,0.0
985,11694,medium,0.0
986,11694,large,4.0
987,11701,small,0.0
988,11701,medium,0.0
989,11701,large,3.0
990,11702,small,0.0
991,11702,medium,0.0
992,11702,large,2.0
993,11703,small,0.0
994,11703,medium,0.0
995,11703,large,2.0
996,11704,small,0.0
997,11704,medium,0.0
998,11704,large,5.0
999,11705,small,0.0
1000,11705,medium,0.0
1001,11705,large,1.0
1002,11706,small,0.0
1003,11706,medium,0.0
1004,11706,large,8.0
1005,11709,small,0.0
1006,11709,medium,0.0
1007,11709,large,1.0
1008,11710,small,0.0
1009,11710,medium,0.0
1010,11710,large,2.0
1011,11713,small,1.0
1012,11713,medium,0.0
1013,11713,large,1.0
1014,11714,small,0.0
1015,11714,medium,0.0
1016,11714,large,2.0
1017,11715,small,0.0
1018,11715,medium,0.0
1019,11715,large,1.0
1020,11716,small,0.0
1021,11716,medium,0.0
1022,11716,large,0.0
1023,11717,small,0.0
1024,11717,medium,0.0
1025,11717,large,10.0
1026,11719,small,1.0
1027,11719,medium,0.0
1028,11719,large,0.0
1029,11720,small,0.0
1030,11720,medium,0.0
1031,11720,large,5.0
1032,11721,small,1.0
1033,11721,medium,0.0
1034,11721,large,0.0
1035,11722,small,0.0
1036,11722,medium,0.0
1037,11722,large,8.0
1038,11724,small,0.0
1039,11724,medium,1.0
1040,11724,large,0.0
1041,11725,small,0.0
1042,11725,medium,0.0
1043,11725,large,0.0
1044,11726,small,0.0
1045,11726,medium,0.0
1046,11726,large,5.0
1047,11727,small,0.0
1048,11727,medium,0.0
1049,11727,large,4.0
1050,11729,small,0.0
1051,11729,medium,0.0
1052,11729,large,3.0
1053,11730,small,0.0
1054,11730,medium,0.0
1055,11730,large,2.0
1056,11731,small,0.0
1057,11731,medium,0.0
1058,11731,large,4.0
1059,11733,small,0.0
1060,11733,medium,0.0
1061,11733,large,0.0
1062,11735,small,0.0
1063,11735,medium,0.0
1064,11735,large,1.0
1065,11738,small,0.0
1066,11738,medium,0.0
1067,11738,large,3.0
1068,11740,small,0.0
1069,11740,medium,0.0
1070,11740,large,1.0
1071,11741,small,0.0
1072,11741,medium,0.0
1073,11741,large,4.0
1074,11742,small,1.0
1075,11742,medium,0.0
1076,11742,large,1.0
1077,11743,small,0.0
1078,11743,medium,0.0
1079,11743,large,0.0
1080,11746,small,0.0
1081,11746,medium,0.0
1082,11746,large,3.0
1083,11747,small,0.0
1084,11747,medium,0.0
1085,11747,large,0.0
1086,11749,small,0.0
1087,11749,medium,0.0
1088,11749,large,0.0
1089,11751,small,0.0
1090,11751,medium,0.0
1091,11751,large,2.0
1092,11752,small,0.0
1093,11752,medium,0.0
1094,11752,large,0.0
1095,11753,small,0.0
1096,11753,medium,1.0
1097,11753,large,1.0
1098,11754,small,0.0
1099,11754,medium,0.0
1100,11754,large,2.0
1101,11755,small,0.0
1102,11755,medium,1.0
