,facility_code,category,slot_expanded
912,886548,under5,0.0
913,886548,over5,0.0
914,909078,under5,0.0
915,909078,over5,0.0
916,897156,under5,30.0
917,897156,over5,0.0
918,914331,under5,0.0
919,914331,over5,0.0
920,429815,under5,0.0
921,429815,over5,0.0
922,508078,under5,0.0
923,508078,over5,0.0
924,692719,under5,0.0
925,692719,over5,0.0
926,252999,under5,0.0
927,252999,over5,0.0
928,367950,under5,0.0
929,367950,over5,0.0
930,867335,under5,10.0
931,867335,over5,0.0
932,643864,under5,0.0
933,643864,over5,0.0
934,649507,under5,0.0
935,649507,over5,0.0
936,805823,under5,0.0
937,805823,over5,0.0
938,868463,under5,20.0
939,868463,over5,0.0
940,376657,under5,0.0
941,376657,over5,0.0
942,709914,under5,24.0
943,709914,over5,0.0
944,739133,under5,0.0
945,739133,over5,0.0
946,828953,under5,2.0
947,828953,over5,0.0
948,411466,under5,0.0
949,411466,over5,0.0
950,186750,under5,0.0
951,186750,over5,0.0
952,538630,under5,0.0
953,538630,over5,0.0
954,768448,under5,0.0
955,768448,over5,0.0
956,376473,under5,13.0
957,376473,over5,0.0
958,651697,under5,0.0
959,651697,over5,0.0
960,72818,under5,7.0
961,72818,over5,0.0
962,816789,under5,0.0
963,816789,over5,0.0
964,469187,under5,0.0
965,469187,over5,0.0
966,759389,under5,0.0
967,759389,over5,0.0
968,73474,under5,11.0
969,73474,over5,0.0
970,228372,under5,20.0
971,228372,over5,0.0
972,742498,under5,41.0
973,742498,over5,0.0
974,51566,under5,0.0
975,51566,over5,0.0
976,811913,under5,3.0
977,811913,over5,0.0
978,497740,under5,0.0
979,497740,over5,0.0
980,801953,under5,0.0
981,801953,over5,0.0
982,847014,under5,0.0
983,847014,over5,0.0
984,739340,under5,0.0
985,739340,over5,0.0
986,583629,under5,0.0
987,583629,over5,0.0
988,637503,under5,0.0
989,637503,over5,0.0
990,688216,under5,0.0
991,688216,over5,0.0
992,840486,under5,3.0
993,840486,over5,0.0
994,398023,under5,0.0
995,398023,over5,0.0
996,120660,under5,3.0
997,120660,over5,0.0
998,73660,under5,27.0
999,73660,over5,0.0
1000,849150,under5,0.0
1001,849150,over5,0.0
1002,877503,under5,0.0
1003,877503,over5,0.0
1004,428101,under5,0.0
1005,428101,over5,0.0
1006,216037,under5,23.0
1007,216037,over5,0.0
1008,249359,under5,0.0
1009,249359,over5,0.0
1010,780461,under5,0.0
1011,780461,over5,0.0
1012,572576,under5,0.0
1013,572576,over5,0.0
1014,73664,under5,14.0
1015,73664,over5,0.0
1016,748363,under5,0.0
1017,748363,over5,0.0
1018,855546,under5,0.0
1019,855546,over5,0.0
1020,841727,under5,0.0
1021,841727,over5,0.0
1022,861112,under5,0.0
1023,861112,over5,0.0
1024,615519,under5,0.0
1025,615519,over5,0.0
1026,455495,under5,0.0
1027,455495,over5,0.0
1028,72501,under5,0.0
1029,72501,over5,0.0
1030,473956,under5,0.0
1031,473956,over5,0.0
1032,101578,under5,0.0
1033,101578,over5,0.0
1034,292364,under5,0.0
1035,292364,over5,0.0
1036,507913,under5,0.0
1037,507913,over5,0.0
1038,552402,under5,0.0
1039,552402,over5,0.0
1040,709919,under5,43.0
1041,709919,over5,0.0
1042,839306,under5,0.0
1043,839306,over5,0.0
1044,520641,under5,0.0
1045,520641,over5,0.0
1046,844241,under5,0.0
1047,844241,over5,0.0
1048,214425,under5,0.0
1049,214425,over5,0.0
1050,760212,under5,0.0
1051,760212,over5,0.0
1052,913942,under5,0.0
1053,913942,over5,0.0
1054,902845,under5,28.0
1055,902845,over5,0.0
1056,892668,under5,0.0
1057,892668,over5,0.0
1058,917054,under5,0.0
1059,917054,over5,0.0
1060,901964,under5,0.0
1061,901964,over5,0.0
1062,906855,under5,0.0
1063,906855,over5,0.0
1064,903562,under5,0.0
1065,903562,over5,0.0
1066,915850,under5,0.0
1067,915850,over5,0.0
1068,902630,under5,0.0
1069,902630,over5,0.0
1070,920245,under5,0.0
1071,920245,over5,0.0
1072,884541,under5,0.0
1073,884541,over5,0.0
1074,913922,under5,0.0
1075,913922,over5,0.0
1076,891312,under5,0.0
1077,891312,over5,0.0
1078,900422,under5,0.0
1079,900422,over5,0.0
1080,916375,under5,0.0
1081,916375,over5,0.0
1082,910935,under5,0.0
1083,910935,over5,0.0
1084,74215,under5,30.0
1085,74215,over5,0.0
1086,774636,under5,0.0
1087,774636,over5,0.0
1088,115986,under5,0.0
1089,115986,over5,0.0
1090,269754,under5,0.0
1091,269754,over5,0.0
1092,653844,under5,0.0
1093,653844,over5,0.0
1094,743958,under5,0.0
1095,743958,over5,0.0
1096,706211,under5,0.0
1097,706211,over5,0.0
1098,824851,under5,0.0
1099,824851,over5,0.0
1100,822928,under5,30.0
1101,822928,over5,0.0
